Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Rheem_rm_loginMetaData,48,613,255,404,739,15333,247,15333,2.083%,.04042,0.29,0.01
RMP_Login,48,811,723,1107,1381,1885,588,1885,0.000%,.04042,0.04,0.02
Get_User_info,48,963,862,1011,1572,2416,797,2416,0.000%,.04041,0.29,0.03
Rheem_getAppPreferences,48,728,680,832,1081,1623,601,1623,0.000%,.04042,0.06,0.03
Login_Cont,48,3116,2573,3156,4975,18428,2298,18428,2.083%,.04031,0.68,0.09
Rheem_rm_manageUsers,48,1224,1071,1759,2184,3019,905,3019,0.000%,.04040,0.02,0.03
Rheem_rm_subscription_plans,94,820,716,1161,1351,1857,242,2673,1.064%,.07915,0.05,0.06
User_Profile Cont,48,2047,1815,2863,2996,4876,1268,4876,2.083%,.04031,0.05,0.06
Rheem_rm_deviceAlertsList,46,2536,406,3744,9838,45425,299,45425,0.000%,.03957,0.03,0.03
Rheem_rm_alert_notification,91,999,1000,1233,1501,3016,238,3992,4.396%,.07708,0.36,0.06
Rheem_rm_userFeedback,46,770,686,782,1762,1898,597,1898,0.000%,.03954,0.02,0.03
Rheem_rheem_getAppPreferences,46,715,657,744,777,2182,600,2182,0.000%,.03954,0.06,0.03
Rheem_rm_alertsOverview ,46,706,686,822,926,1167,237,1167,2.174%,.03953,0.03,0.03
Rheem_rm_deviceAlertsList(Lat_Long),46,22600,15880,38007,43561,56660,238,56660,4.348%,.03912,43.66,0.03
Device _ Management_Cont,46,29227,23518,45814,50338,64419,4510,64419,8.696%,.03875,43.59,0.20
Rheem_rm_deviceAlertsList ,45,4870,791,11424,12861,39448,238,39448,4.444%,.03956,0.03,0.03
Rheem_rm_product_info,45,9176,695,915,1750,192076,239,192076,6.667%,.03955,0.02,0.03
Rheem_rm_product_info_read,45,886,725,1130,1225,3271,237,3271,4.444%,.03955,0.06,0.03
Rheem_rm_myrheemWarrantyOverview,45,1336,1270,1598,1757,2723,237,2723,2.222%,.03953,0.13,0.03
Rheem_rm_deviceTemperatureDetails,89,767,774,842,895,1011,236,2170,3.371%,.07824,0.10,0.07
Rheem_rm_bidirectionaldisable,45,727,687,886,941,2034,237,2034,4.444%,.03956,0.03,0.03
Rheem_rm_stream_get_bidirectional_session,45,275,253,265,288,742,237,742,4.444%,.03958,0.02,0.03
Rheem_rm_remoteAccessHistory,45,425,432,480,484,530,238,530,6.667%,.03957,0.02,0.03
Rheem_rm_deviceNotes,45,5918,685,903,1178,236813,237,236813,15.556%,.03956,0.02,0.03
Rheem_rm_deviceAlerts,45,761,776,932,984,1081,237,1081,11.111%,.03956,0.15,0.03
Rheem_rm_deviceLocationContactOverview,45,1345,1093,1331,3855,5351,238,5351,4.444%,.03960,0.03,0.04
Rheem_rm_deviceHealthStatus,89,817,715,1276,1389,1619,240,2274,3.371%,.07834,0.13,0.06
Rheem_rm_deviceAlertsList(LatestAlerts),45,5182,649,11507,23961,49572,205,49572,2.222%,.03963,0.03,0.03
Device_Details_Cont,45,33380,20210,34535,208786,248903,8431,248903,33.333%,.03882,0.81,0.44
Rheem_rm_deviceSchedule,44,1586,1505,1877,2438,3124,1189,3124,0.000%,.03968,0.07,0.03
Rheem_rm_detailswarrantyOverview,44,732,703,861,934,1121,616,1121,0.000%,.03970,0.04,0.03
Scheduling_Page_Cont,44,3933,3770,4799,4870,5278,3023,5278,4.545%,.03944,0.24,0.13
Rheem_rm_myRheem,44,814,837,908,1296,2009,238,2009,4.545%,.03971,0.10,0.03
User_Management_Cont,44,814,837,908,1296,2009,238,2009,4.545%,.03967,0.10,0.03
Rheem_rm_remoteAccessSessions,44,843,816,1120,1219,1865,236,1865,4.545%,.03971,0.02,0.03
Remote_Sessions_Cont,44,843,816,1120,1219,1865,236,1865,4.545%,.03968,0.02,0.03
Rheem_rm_submitFeedback,44,1610,1548,2046,2553,3066,238,3066,9.091%,.03967,0.03,0.03
Faq_Feedback_Cont,44,1610,1548,2046,2553,3066,238,3066,9.091%,.03964,0.03,0.03
Rheem_rm_userSettings,44,984,1025,1260,1338,1426,237,1426,11.364%,.03969,0.08,0.03
Settings_Cont,44,984,1025,1260,1338,1426,237,1426,11.364%,.03966,0.08,0.03
Rheem_rm_findMyDevices,44,20923,10531,13473,13818,246418,245,246418,6.818%,.03948,0.05,0.03
Find_my_device_Cont,44,20923,10531,13473,13818,246418,245,246418,6.818%,.03944,0.05,0.03
Logout,43,353,240,721,725,784,236,784,11.628%,.03931,0.02,0.02
Logout_Cont,43,353,240,721,725,784,236,784,11.628%,.03927,0.02,0.02
TOTAL,2173,4040,823,10255,16054,44805,205,248903,5.062%,1.81890,90.65,2.11
