API,# Samples,Average(Ms),Calculated RPS,Error %
RMP_Login,380,853,0.211,0.00%
Get_User_info,380,789,0.211,0.00%
Login_cont,380,1642,0.211,0.00%
Rheem_rm_manageUsers,380,662,0.211,0.00%
Rheem_rm_subscription_plans,760,697,0.422,0.00%
Rheem_rm_deviceAlertsList,380,356,0.211,0.00%
Rheem_rm_alert_notification,759,624,0.421,0.00%
Rheem_rm_userFeedback,380,639,0.211,0.00%
Rheem_rheem_getAppPreferences,380,638,0.211,0.00%
Rheem_rm_alertsOverview,380,648,0.211,0.00%
Rheem_rm_deviceAlertsList(Lat_Long),380,4433,0.211,0.00%
Rheem_rm_deviceAlertsList,380,436,0.211,0.00%
Rheem_rm_product_info,380,650,0.211,0.00%
Rheem_rm_product_info_read,380,652,0.211,0.00%
Rheem_rm_deviceTemperatureDetails,759,730,0.421,0.00%
Rheem_rm_bidirectionaldisable,379,691,0.210,0.00%
Rheem_rm_stream_get_bidirectional_session,379,252,0.210,0.00%
Rheem_rm_remoteAccessHistory,379,441,0.210,0.00%
Rheem_rm_deviceNotes,379,692,0.210,0.00%
Rheem_rm_deviceAlerts,379,811,0.210,0.00%
Rheem_rm_deviceLocationContactOverview,379,658,0.210,0.00%
Rheem_rm_deviceHealthStatus,758,687,0.421,0.00%
Rheem_rm_deviceAlertsList(LatestAlerts),379,411,0.210,0.00%
Rheem_rm_deviceSchedule,379,1472,0.210,0.00%
Rheem_rm_detailswarrantyOverview,379,669,0.210,0.00%
Scheduling_Page_Cont,379,3558,0.210,0.00%
Rheem_rm_myRheem,378,407,0.210,0.00%
Rheem_rm_remoteAccessSessions,378,398,0.210,0.00%
Remote_Sessions_Cont,378,398,0.210,0.00%
Rheem_rm_userSettings,378,645,0.210,0.00%
Rheem_rm_findMyDevices,378,12543,0.210,0.00%
TOTAL,13276,1263.94,7.37,0.00%

