JMeter Summary Report,,,,
Label,#Samples,Average,Error%,RPS(Sec)
User_Profile_Cont,1143,3206,0,0.31
User_Management_Cont,1130,1415,0,0.31
Settings_Cont,1129,1446,0,0.31
Scheduling_Page_Cont,1133,8376,0,0.31
Rheem_rm_userSettings,1129,1446,0,0.31
Rheem_rm_userFeedback,1142,1470,0,0.31
Rheem_rm_subscription_plans,2285,1664,0,0.63
Rheem_rm_stream_get_bidirectional_session,1139,326,0,0.31
Rheem_rm_remoteAccessSessions,1129,739,0,0.31
Rheem_rm_remoteAccessHistory,1139,968,0,0.31
Rheem_rm_product_info_read,1139,1518,0,0.31
Rheem_rm_product_info,1139,1526,0,0.31
Rheem_rm_myRheem,1130,1415,0,0.31
Rheem_rm_manageUsers,1143,1522,0,0.31
Rheem_rm_findMyDevices,1129,10550,0,0.31
Rheem_rm_deviceTemperatureDetails,2270,1867,0,0.62
Rheem_rm_deviceSchedule,1132,2657,0,0.31
Rheem_rm_deviceNotes,1138,1713,0,0.31
Rheem_rm_deviceLocationContactOverview,1134,1593,0,0.31
Rheem_rm_deviceHealthStatus,2267,1963,0,0.62
Rheem_rm_deviceAlertsList(LatestAlerts),1134,1029,0,0.31
Rheem_rm_deviceAlertsList(Lat_Long),1142,7192,0,0.31
Rheem_rm_deviceAlertsList,1139,1622,0,0.31
Rheem_rm_deviceAlertsList,1142,851,0,0.31
Rheem_rm_deviceAlerts,1137,2161,0,0.31
Rheem_rm_detailswarrantyOverview,1132,1671,0,0.31
Rheem_rm_bidirectionaldisable,1139,1748,0,0.31
Rheem_rm_alertsOverview,1142,1514,0,0.31
Rheem_rm_alert_notification,2277,1295,0,0.62
Rheem_rheem_getAppPreferences,1142,1482,0,0.31
Remote_Sessions_Cont,1129,739,0,0.31
Login_cont,1145,3488,0,0.31
Login,1145,1536,0,0.31
Get_User_info,1145,1952,0,0.31
Find_my_device_Cont,1129,10550,0,0.31
Device_Management_Cont,1142,15454,0,0.31
Device_Details_Cont,1142,19079,0,0.31
TOTAL,46622,3110,0,13
